time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,train/clip_fraction,train/explained_variance,train/approx_kl,train/learning_rate,train/entropy_loss,train/n_updates,train/value_loss,train/std,train/clip_range,train/loss,train/policy_gradient_loss
93,-0.21320133000000002,1.0,5952,1294,4,0.0,0.07045173645019531,0.00046893302,0.0003,-2.4043044805526734,920,0.02712572943419218,0.8048683404922485,0.2,0.011658398434519768,0.00042286524549126623
94,-0.21163627,1.0,6016,1293,4,0.0,0.011077880859375,0.0003612563,0.0003,-2.400664758682251,930,0.034000350162386894,0.8028666973114014,0.2,0.014427836053073406,-9.806910529732704e-05
95,-0.2263025,1.0,6080,1293,4,0.0046875,0.03416675329208374,0.0026220083,0.0003,-2.3951963663101195,940,0.029876036755740642,0.8006060123443604,0.2,-0.003055029548704624,-0.007242698594927788
96,-0.21156496999999994,1.0,6144,1293,4,0.0015625,0.05070716142654419,0.0021656565,0.0003,-2.389422798156738,950,0.030251683294773103,0.7981019020080566,0.2,0.004973213188350201,-0.004228596854954958
97,-0.21812792999999997,1.0,6208,1294,4,0.0,0.0822153091430664,0.0007452816,0.0003,-2.3835707664489747,960,0.031870462372899054,0.7961974143981934,0.2,0.006729769520461559,-0.0008037539198994636
98,-0.23114199999999996,1.0,6272,1294,4,0.0,0.10594302415847778,0.0018476602,0.0003,-2.3792062520980837,970,0.026109350472688676,0.7943556904792786,0.2,0.001571115106344223,-0.0029685769230127336
99,-0.22360621999999997,1.0,6336,1294,4,0.0,0.08191502094268799,0.0008540321,0.0003,-2.374311375617981,980,0.024575933814048767,0.7923851013183594,0.2,0.007066813297569752,4.634903743863106e-05
100,-0.23852526000000004,1.0,6400,1295,4,0.0171875,0.017373204231262207,0.0054151425,0.0003,-2.3693971157073976,990,0.03290491476655007,0.7904701232910156,0.2,0.004753395915031433,-0.004970844555646181
101,-0.25783362000000004,1.0,6464,1295,4,0.025,-0.0036783218383789062,0.007383382,0.0003,-2.3647300481796263,1000,0.051387929171323773,0.7886974811553955,0.2,-0.006743514910340309,-0.018383728433400394
102,-0.27728322,1.0,6528,1295,5,0.0390625,0.05832260847091675,0.0076750377,0.0003,-2.359609913825989,1010,0.03529712818562984,0.786358654499054,0.2,0.005709551274776459,-0.0084073968231678
103,-0.27549672,1.0,6592,1295,5,0.009375,0.036082327365875244,0.0048483945,0.0003,-2.353661227226257,1020,0.037769966199994086,0.7842087149620056,0.2,-0.0035609323531389236,-0.009574206359684468
104,-0.23849548,1.0,6656,1296,5,0.015625,0.07784318923950195,0.006828662,0.0003,-2.348572516441345,1030,0.03476026132702827,0.782264232635498,0.2,0.011775720864534378,-0.0021411489695310594
105,-0.23950305,1.0,6720,1296,5,0.0,-0.023801684379577637,0.0021624798,0.0003,-2.3436628341674806,1040,0.034615259245038034,0.7804956436157227,0.2,-0.0006305761635303497,-0.004720653872936964
106,-0.23144540000000002,1.0,6784,1296,5,0.0171875,0.06727921962738037,0.004032907,0.0003,-2.3386265993118287,1050,0.040317002683877945,0.7781113982200623,0.2,0.00972151942551136,-0.005468622595071792
107,-0.22416625000000004,1.0,6848,1297,5,0.0015625,0.09265393018722534,0.0019404897,0.0003,-2.3324742794036863,1060,0.02838562410324812,0.7760152816772461,0.2,0.0032124193385243416,-0.0034465420991182326
108,-0.24336239000000004,1.0,6912,1297,5,0.028125,0.06910961866378784,0.008822234,0.0003,-2.327565550804138,1070,0.025126518309116365,0.7742303609848022,0.2,-0.00029937271028757095,-0.007221580110490322
109,-0.23304265999999998,1.0,6976,1297,5,0.003125,0.08276396989822388,0.0042110113,0.0003,-2.3229204654693603,1080,0.03200194910168648,0.7724030017852783,0.2,0.009251745417714119,-0.0016761599108576775
110,-0.23888028000000003,1.0,7040,1298,5,0.009375,0.05577719211578369,0.0059293276,0.0003,-2.3182158708572387,1090,0.026744114980101586,0.7707129716873169,0.2,0.005401194095611572,-0.002828736137598753
111,-0.20897658,1.0,7104,1298,5,0.025,0.10056197643280029,0.007001145,0.0003,-2.314172458648682,1100,0.03367352820932865,0.7691199779510498,0.2,-0.009627453982830048,-0.015083847753703594
112,-0.20881822999999997,1.0,7168,1297,5,0.0046875,0.07543277740478516,0.00500576,0.0003,-2.309724473953247,1110,0.029791076481342316,0.7673743367195129,0.2,0.00404320377856493,-0.002570337010547519
113,-0.18895482999999996,1.0,7232,1298,5,0.0625,0.11565327644348145,0.010967413,0.0003,-2.3052297830581665,1120,0.025906824693083762,0.7655628323554993,0.2,0.0003792010247707367,-0.008499454148113728
114,-0.22648777999999997,1.0,7296,1299,5,0.009375,0.1281721591949463,0.0061526457,0.0003,-2.3006277322769164,1130,0.026300488226115703,0.7639098167419434,0.2,-0.004763632081449032,-0.008264691662043333
115,-0.22306357,1.0,7360,1298,5,0.0125,0.08387720584869385,0.0046914574,0.0003,-2.295968794822693,1140,0.04022839106619358,0.7616415619850159,0.2,0.01592308096587658,-0.0013121673837304115
116,-0.20252687000000003,1.0,7424,1298,5,0.00625,0.0714719295501709,0.0031398945,0.0003,-2.2896204471588133,1150,0.02641109097748995,0.7592428922653198,0.2,0.002961510792374611,-0.0034000979736447333
117,-0.21174111999999995,1.0,7488,1297,5,0.0171875,0.18037033081054688,0.006912021,0.0003,-2.2838409423828123,1160,0.02347117867320776,0.7573070526123047,0.2,-0.015101337805390358,-0.010748811904340983
118,-0.2165827,1.0,7552,1298,5,0.0,0.08510881662368774,0.0011513988,0.0003,-2.2785961389541627,1170,0.03269549459218979,0.7550503611564636,0.2,0.011968264356255531,0.0013539863750338555
119,-0.23824641999999996,1.0,7616,1298,5,0.003125,0.12543374300003052,0.004563095,0.0003,-2.2722269535064696,1180,0.029184038750827312,0.7525163888931274,0.2,0.009585890918970108,-0.002175789140164852
120,-0.21396435999999996,1.0,7680,1299,5,0.0,0.004091620445251465,0.0023559434,0.0003,-2.2656136751174927,1190,0.03751571662724018,0.7500692009925842,0.2,0.009230542927980423,-0.002527024131268263
121,-0.21032121,1.0,7744,1300,5,0.0,0.10958987474441528,0.00088033546,0.0003,-2.259461450576782,1200,0.024090814404189587,0.7479884624481201,0.2,0.0056213270872831345,-0.0008799441158771515
122,-0.23716827000000001,1.0,7808,1299,6,0.103125,0.06782341003417969,0.025445206,0.0003,-2.254634070396423,1210,0.026959991082549095,0.7465252876281738,0.2,-0.045423414558172226,-0.03775215540081263
123,-0.23671502999999997,1.0,7872,1300,6,0.015625,0.0994727611541748,0.0046102293,0.0003,-2.250564193725586,1220,0.03672871962189674,0.7447783946990967,0.2,0.01003042422235012,-0.004414005298167467
124,-0.2419301,1.0,7936,1300,6,0.08125,0.040947794914245605,0.01737664,0.0003,-2.2460707664489745,1230,0.033367186412215234,0.7433756589889526,0.2,-0.040640849620103836,-0.030719170719385146
125,-0.21034046999999995,1.0,8000,1301,6,0.0,0.1439739465713501,9.840075e-05,0.0003,-2.242380905151367,1240,0.028253151662647726,0.7419307231903076,0.2,0.014575149863958359,0.005093874223530292
