rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/policy_gradient_loss,train/std,train/approx_kl,train/learning_rate,train/entropy_loss,train/value_loss,train/explained_variance,train/n_updates,train/clip_fraction,train/clip_range,train/loss
-0.13829026,1.0,17920,280,1201,14,-0.010050958767533303,0.4740123152732849,0.013951604,0.0003,-1.346906340122223,0.03985886573791504,0.03336203098297119,2790,0.0765625,0.2,0.005798486992716789
-0.11794966999999999,1.0,17984,281,1201,14,-0.004061281960457563,0.4725421071052551,0.006794409,0.0003,-1.341840147972107,0.02359932642430067,0.1270037293434143,2800,0.0296875,0.2,0.004827516153454781
-0.14801293,1.0,18048,282,1201,15,-0.008198683988302946,0.4712029695510864,0.0023556761,0.0003,-1.3354564547538756,0.021196616254746913,-0.04380631446838379,2810,0.0,0.2,-0.009913991205394268
-0.15941684000000003,1.0,18112,283,1201,15,-0.0002656787633895874,0.47028273344039917,0.0014433209,0.0003,-1.330651307106018,0.062375005707144736,-0.027384638786315918,2820,0.0,0.2,0.005014875903725624
-0.14734491,1.0,18176,284,1200,15,-0.00501399040222168,0.4690350890159607,0.0018228944,0.0003,-1.3264412760734559,0.037123539671301845,0.03392982482910156,2830,0.0,0.2,0.005018124356865883
-0.14745194,1.0,18240,285,1200,15,-0.003223395254462957,0.46733513474464417,0.0051614866,0.0003,-1.3201094031333924,0.030366574227809907,0.1499321460723877,2840,0.01875,0.2,0.008231054991483688
-0.13165359,1.0,18304,286,1200,15,-0.0033770740032196046,0.46563202142715454,0.0027955761,0.0003,-1.3126246094703675,0.03223208747804165,0.06012839078903198,2850,0.0,0.2,0.005977978929877281
-0.10151674,1.0,18368,287,1200,15,-0.0016950083896517753,0.46412819623947144,0.0017179083,0.0003,-1.3055628895759583,0.02670619059354067,-0.033959269523620605,2860,0.0125,0.2,0.00560715701431036
-0.12769772,1.0,18432,288,1200,15,-0.01385701708495617,0.4629967212677002,0.018299874,0.0003,-1.3000202775001526,0.01580543499439955,-0.0007176399230957031,2870,0.103125,0.2,-0.011401982977986336
-0.12738923,1.0,18496,289,1200,15,-0.009109770506620407,0.4616508483886719,0.0040702717,0.0003,-1.2948249697685241,0.020522019267082213,0.15253883600234985,2880,0.0015625,0.2,-0.010945256799459457
